stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,0.273362,0.416670,1.629944,236.000000,0.001644,0
1782434556.015004,1,0.264773,0.408763,1.463151,178.000000,0.001667,0
1782434556.015004,1,0.255763,0.399499,1.316877,228.000000,0.001690,0
1782434556.015004,1,0.254498,0.401472,1.224265,156.000000,0.001713,0
1782434556.015004,1,0.267581,0.425296,1.203166,173.000000,0.001736,0
1782434556.015004,1,0.266967,0.427911,1.128874,156.000000,0.001759,0
1782434556.015004,1,0.276038,0.445521,1.098292,218.000000,0.001782,0
1782434556.015004,1,0.279657,0.454560,1.050648,168.000000,0.001806,0
1782434556.015004,1,0.277203,0.453870,0.986700,162.000000,0.001829,0
1782434556.015004,1,0.278429,0.458906,0.939869,165.000000,0.001852,0
1782434556.015004,1,0.276051,0.458050,0.885851,173.000000,0.001875,0
1782434556.015004,1,0.275087,0.459354,0.840043,183.000000,0.001898,0
1782434556.015004,1,0.275835,0.463361,0.802131,194.000000,0.001921,0
1782434556.015004,1,0.276082,0.466493,0.765380,204.000000,0.001944,0
1782434556.015004,1,0.278447,0.473076,0.736065,211.000000,0.001968,0
1782434556.015004,1,0.276908,0.473164,0.699227,213.000000,0.001991,0
1782434556.015004,1,0.271549,0.466798,0.656169,197.000000,0.002014,0
1782434556.015004,1,0.210832,0.376742,0.401135,93.000000,0.002153,0
1782434556.015004,1,0.203203,0.365376,0.371836,98.000000,0.002176,0
1782434556.015004,1,0.195424,0.353611,0.344103,94.000000,0.002199,0
1782434556.015004,1,0.186728,0.340101,0.316768,98.000000,0.002222,0
1782434556.015004,1,0.185772,0.340051,0.301544,106.000000,0.002245,0
1782434556.015004,1,0.184148,0.338799,0.286007,120.000000,0.002269,0
1782434556.015004,1,0.178466,0.330314,0.266171,133.000000,0.002292,0
1782434556.015004,1,0.180573,0.335626,0.256269,141.000000,0.002315,0
1782434556.015004,1,0.178650,0.333750,0.242057,146.000000,0.002338,0
1782434556.015004,1,0.184357,0.345584,0.236035,149.000000,0.002361,0
1782434556.015004,1,0.186033,0.350222,0.225718,151.000000,0.002384,0
1782434556.015004,1,0.187565,0.354627,0.215277,153.000000,0.002407,0
1782434556.015004,1,0.188952,0.358797,0.204718,156.000000,0.002431,0
1782434556.015004,1,0.186147,0.355305,0.190963,159.000000,0.002454,0
1782434556.015004,1,0.182699,0.350584,0.177232,161.000000,0.002477,0
1782434556.015004,1,0.183608,0.353878,0.166840,160.000000,0.002500,0
1782434556.015004,1,0.154274,0.300931,0.138658,113.000000,0.002523,0
1782434556.015004,1,0.180891,0.352052,0.143624,163.000000,0.002546,0
1782434556.015004,1,0.181373,0.354571,0.133231,172.000000,0.002569,0
1782434556.015004,1,0.177123,0.348180,0.120859,174.000000,0.002593,0
1782434556.015004,1,0.177330,0.350169,0.110609,174.000000,0.002616,0
1782434556.015004,1,0.229828,0.453797,0.103007,86.000000,0.002662,0
1782434556.015004,1,0.264544,0.522592,0.096379,227.000000,0.002685,0
1782434556.015004,1,0.203026,0.406257,0.072768,197.000000,0.002708,0
1782434556.015004,1,0.254737,0.508420,0.064975,226.000000,0.002731,0
1782434556.015004,1,0.262605,0.526110,0.050271,226.000000,0.002755,0
1782434556.015004,1,0.314822,0.496527,0.056043,225.000000,2.008000,1
1782434556.015004,1,0.308903,0.489035,0.071015,226.000000,2.008023,1
1782434556.015004,1,0.307509,0.488856,0.086144,226.000000,2.008046,1
1782434556.015004,1,0.290871,0.463704,0.098403,103.000000,2.008070,1
1782434556.015004,1,0.214549,0.341645,0.105680,110.000000,2.008116,1
1782434556.015004,1,0.227230,0.364167,0.121139,156.000000,2.008139,1
1782434556.015004,1,0.225426,0.362751,0.132346,157.000000,2.008162,1
1782434556.015004,1,0.223477,0.361079,0.143494,154.000000,2.008185,1
1782434556.015004,1,0.221385,0.359152,0.154574,149.000000,2.008208,1
1782434556.015004,1,0.219151,0.356971,0.165578,146.000000,2.008231,1
1782434556.015004,1,0.212421,0.347149,0.173775,119.000000,2.008255,1
1782434556.015004,1,0.205179,0.336371,0.181106,136.000000,2.008278,1
1782434556.015004,1,0.211626,0.348915,0.198064,146.000000,2.008301,1
1782434556.015004,1,0.213512,0.353736,0.212457,144.000000,2.008324,1
1782434556.015004,1,0.210541,0.350225,0.223214,141.000000,2.008347,1
1782434556.015004,1,0.207442,0.346464,0.233848,137.000000,2.008370,1
1782434556.015004,1,0.208223,0.349431,0.248385,133.000000,2.008393,1
1782434556.015004,1,0.204807,0.345089,0.258961,127.000000,2.008416,1
1782434556.015004,1,0.205566,0.348055,0.274334,120.000000,2.008440,1
1782434556.015004,1,0.205623,0.349817,0.289486,110.000000,2.008463,1
1782434556.015004,1,0.201690,0.344526,0.300023,102.000000,2.008486,1
1782434556.015004,1,0.205333,0.352705,0.321042,96.000000,2.008509,1
1782434556.015004,1,0.208528,0.360173,0.342695,93.000000,2.008532,1
